id,tweet_text,time_will_tell,distrust_experts,too_fast_early_dev,natural_traditional_is_better,liberty_freedom,hidden_motives,scapegoat,defend_the_weak,wicked_fairness,none,source
81,Anything is possible with  and  under  RULE Even the FLU VACCINE could be doctored like you mentioned just think how many people get the Flu vaccine in South Africa,0,0,0,0,0,0,0,0,0,1,vaccine
82,Right to choose what? Vaccines?,0,0,0,0,1,0,0,0,0,0,vaccine
83,US grapples with whether to modify COVID vaccine for fall | business,0,0,0,0,0,0,0,0,0,1,vaccine
84,"This is pure magic. Hey Everyone, you can't be against vaccine mandates and simultaneously be against women vacuuming away their babies.",0,0,0,0,0,0,0,1,0,0,vaccine
85,"It's so interesting how right wingers go silent when stuff like this happens lmao. Y'all be loud af about vaccines, masks, and gas prices, but people's human rights? Silence lmao",0,0,0,0,1,0,0,0,0,0,vaccine
86,I helped to develop Open Canada Portal for visualizing Official Data related to Covid vaccines and I can be reached at,0,0,0,0,0,0,0,0,0,1,vaccine
87,Harry Rakowski: New vaccine technologies offer hope for evading new waves and protecting the vulnerable,0,0,0,0,0,0,0,0,0,1,vaccine
88,5 weekends of work and here we are.....Out in the middle of nowhere which makes it a pain go get things here....,0,0,0,0,0,0,0,0,0,1,vaccine
89,"Flint, 34, submitted hundreds of pages of reports from four doctors who attributed his vertigo, headaches, and partial loss of hearing and eyesight -- afflictions that have ended his career as a pilot -- to a rare side-effect of the Pfizer vaccine",0,0,0,0,0,0,0,0,0,1,vaccine
90,"That's not what happened and you lot know damn well it isn't. You weren't banned from society, there was a handful of things you couldn't do without the vaccine. It was literally no difference than a 'no shirt, no shoes, no service' sign you dishonest fucking imbeciles.",0,0,0,0,0,0,0,0,0,1,vaccine
91,I can't believe your last reply and some1 can be so was b4 vaccine.People a few miles away wer dying and we continued letting people come in.,0,0,0,0,0,0,0,0,0,1,vaccine
92,Saving the Tassie devil: COVID-19 vaccine technology gives researchers hope of success | ABC News,0,0,0,0,0,0,0,0,0,1,vaccine
93,"???? The Australian government has admitted there have been at least 79,000 side effects from the COVID-19 vaccine and is now offering compensation for those seriously injured.",0,0,0,0,0,0,0,0,0,1,vaccine
94,The FDA and CDC recently authorized the first COVID-19 vaccines for children under the age of five. Two Georgia doctors joined  on a recent episode of 'Closer Look' to discuss some of the most frequently asked questions about COVID vaccines.,0,0,0,0,0,0,0,0,0,1,vaccine
95,"IF PFIZER CAN GET THE VACCINES APPROVED FOR CHILDREN THEY AUTOMATICALLY CANNOT BE SUED! WE STOOD UP & FOUGHT FOR THE UNBORN CHILDREN, NOW LETS FIGHT FOR CHILDREN TO NOT GET THE JAB!",0,0,0,0,0,1,0,1,0,0,vaccine
96,VLP (Virus-like particles) -Based COVID-19 Vaccines: An Adaptable Technology against the Threat of New Variants 'Incorporating the spike protein and its variations into VLP vaccines is a desirable strategy,0,0,0,0,0,0,0,0,0,1,vaccine
97,"?????? If everyone that got the vaccine is dying why am I still here? Triple Vaxxed, when will I get my 5g Wi-Fi & AIDS?",0,0,0,0,0,0,0,0,0,1,vaccine
98,REPLAY: PLENARY 1. How we build confidence in COVID-19 vaccines (Teach to Reach 6) Request your invitation to join Teach to Reach: Connect,0,0,0,0,0,0,0,0,0,1,vaccine
99,The vaccine's no longer experimental. Military members are required to get a whole slew of shots.,0,0,0,0,0,0,0,0,0,1,vaccine
100,Y'all gon stop tryna act like 'my body my choice' in relation to abortion is similar to refusing a vaccine and risking the health of everyone around you lmao.,0,0,0,0,1,0,0,0,0,0,vaccine
101,Unlocking the potential of AfCFTA | Amethis sells stake in Kenyan retailer Naivas to Mauritian firm | Rule of law report - what is holding Africa back? | New agreement paves way for development of first African-owned Covid-19 vaccine |,0,0,0,0,0,0,0,0,0,1,vaccine
102,"Well vaccine side effects are documented by Pfizer itself factually, Climate Change theory on the other hand, is for stupid people with faceless Avatars.",0,1,0,0,0,0,0,0,0,0,vaccine
103,"You are not, actually, interested in hearing the other side of the debate. And unless you can give birth, you can MYOB. Vaccines are a little different than abortions but you're a deacon, not a doctor.",0,1,0,0,0,0,0,0,0,0,vaccine
104,Perhaps you was to put these up on the wall to keep track of the different options and intervals for different ages with the COVID Vaccines,0,0,0,0,0,0,0,0,0,1,vaccine
105,2. It's almost as if he doesn't have the first clue how to read a clinical trial protocol : newsroomCovid-19 vaccine trials cannot tell us if they will save lives - The BMJ,0,0,0,0,0,0,0,0,0,1,vaccine
106,Novak Djokovic rules out getting Covid vaccine despite risk of losing ranking points - video he's a sefish putz: dont get vax to save others cuz that would mean he recognizes others. shmuck,0,0,0,0,0,0,0,0,0,1,vaccine
107,Fighting Stigma - Flu vaccine reduced risk of developing Alzheimer's disease: Study - Sambad English: People who received at least one influenza vaccine were 40 per cent less likely than their non-vaccinated peers to develop Alzheimer's disease ...,0,0,0,0,0,0,0,0,0,1,vaccine
108,All of you vaccine enthusiasts out there that I regularly argue with. Is your position that all of these ppl are liars?,0,0,0,0,0,0,0,0,0,1,vaccine
109,"Except for vaccines. And where you can go. Other than that, yeah.",0,0,0,0,0,0,0,0,0,1,vaccine
110,When does the public enquiry begin? Eager to hear about the vaccine rollout & how well we managed covid,0,0,0,0,0,0,0,0,0,1,vaccine
111,DC to Provide Free Monkeypox Vaccines to At-Risk Groups,0,0,0,0,0,0,0,0,0,1,vaccine
112,"CDC urges gay, bisexual men to get meningococcal vaccine after reports of disease outbreak that's among worst in history",0,0,0,0,0,0,0,0,0,1,vaccine
113,They need to make a vaccine for my car installments,0,0,0,0,0,0,0,0,0,1,vaccine
114,David Seymour hits the government's 'reckless' cost of COVID-19 vaccine advertising,0,0,0,0,0,0,0,0,0,1,vaccine
115,"Hmmm I wonder if people are lining up to get the monkey pox vaccine bc the symptoms are physical, affecting their vanity ??",0,0,0,0,0,0,0,0,0,1,vaccine
116,Denmark to offer 4th COVID-19 vaccine dose in autumn,0,0,0,0,0,0,0,0,0,1,vaccine
117,"With the CDC's authorization, 17 million American babies and toddlers are now eligible to receive pediatric doses of COVID-19 vaccine. Doses could start arriving in Oregon as soon as today.",0,0,0,0,0,0,0,0,0,1,vaccine
118,"so the Pentagon can just ignore federal laws, but individuals in the armed forces can't ignore vaccine mandates?",0,0,0,0,0,0,0,0,0,1,vaccine
119,Ahhhh after mandating vaccines he's now pro choice. What a hypocrite  is,0,0,0,0,1,0,0,0,0,0,vaccine
120,Click through to see the thread this punchline came from. Oh yes!!,0,0,0,0,0,0,0,0,0,1,vaccine
121,Children From All Around the world ?? Need The Vaccine So They Don't Get The Coronavirus,0,0,0,0,0,0,0,0,0,1,vaccine
122,6/27/2020: 'The only alternative until we have a vaccine is all of these behavioral interventions that we know work...The governors are all on different pages. It is no wonder that the average person is confused.',0,0,0,0,0,0,0,0,0,1,vaccine
123,"They asked for lockdowns, applauded the NHS, cheered for money printing inflationary bailouts, demanded vaccines, were terrorized into staying home & now don't want to go into work. They cheered for economic suicide. Now the chickens come home to roast.",0,1,0,0,0,1,0,0,0,0,vaccine
124,Asked about Roe v Wade and this woman just starts in on vaccines. What a disgrace.  is a stain on Kansas City. I would recommend not buying their products.,0,0,0,0,0,0,0,0,0,1,vaccine
125,"A collar, harness, two techs and one vet later we have a fecal, heart worm and vaccines. Hiding under the chair did not work.",0,0,0,0,0,0,0,0,0,1,vaccine
126,Throwing away kids' COVID vaccines is criminal. Blame Florida's anti-vaxx messaging | Editorial,0,0,0,0,0,0,0,0,0,1,vaccine
127,Forced vaccines on people and declared emergency when they protested.,0,0,0,0,1,0,0,0,0,0,vaccine
128,"Gura + Spider Dish + BL Manga is a really good combo, I pretty much only lost cause I got tired lol",0,0,0,0,0,0,0,0,0,1,vaccine
129,"What Pfizer's landmark COVID vaccine results mean for the pandemic Scientists welcome the first compelling evidence that a vaccine can prevent COVID-19. But questions remain about how much protection it offers, to whom and for how long.",0,0,0,0,0,0,0,0,0,1,vaccine
130,Each time I read news about the potential for a malaria vaccine it is more positive. This is really good news.,0,0,0,0,0,0,0,0,0,1,vaccine
131,CDC Advisers Endorse Moderna's Covid-19 Vaccine for Kids 6 to 17 Years,0,0,0,0,0,0,0,0,0,1,vaccine
132,Wow. Congratulations. But we could have done this faster if pharma companies shared vaccine technologies,0,0,0,0,0,1,0,0,0,0,vaccine
133,"I have published a link to the peer-reviewed phase 3 clinical trial results multiple times throughout this thread. The trial specifically tested the vaccine for safety and efficacy. Here it is yet again: Thou doth project too much, methinks.",0,0,0,0,0,0,0,0,0,1,vaccine
134,Publix not giving COVID-19 vaccine to children younger than 5 ??,0,0,0,0,0,0,0,1,0,0,vaccine
135,a nice study on vaccine effectiveness done in israel. one of the side benefits of a national healthcare system.,0,0,0,0,0,0,0,0,0,1,vaccine
136,. to begin offering COVID vaccines for kids as young as 6 months starting June 24:,0,0,0,0,0,0,0,0,0,1,vaccine
137,"Mann Ki Baat: Take precautionary dose of Covid vaccine on time, says PM Modi | India News",0,0,0,0,0,0,0,0,0,1,vaccine
138,FDA debating possible COVID-19 vaccine updates for fall WTHR,0,0,0,0,0,0,0,0,0,1,vaccine
139,"Your vaccine mandates are to blame for the erosion of 'my body, my choice'-not the US Supreme Court...",0,0,0,0,1,0,0,0,0,0,vaccine
140,Kids can now get COVID-19 vaccines in Marion County -,0,0,0,0,0,0,0,0,0,1,vaccine
141,"Polio outbreaks in Africa caused by mutation of strain in vaccine This article is more than 2 years old New cases of highly infectious disease that should be 'consigned to the history books' reported in Nigeria, the DRC, CAR and Angola",0,0,0,0,0,0,0,0,0,1,vaccine
142,"No one is getting vaccinated because of the compulsory vaccination. We can only achieve this [vaccination], when it is on a voluntary basis.' After suspending vaccine and mask mandates, Austria now abolishes compulsory vaccination.",0,0,0,0,0,0,0,0,0,1,vaccine
143,You mist find it yourself i help you litter bit but the rest is you ! follow professor  and his weekly report about the vaccines & pharma industries YOU CAN READ SUBTITTEL ??,0,0,0,0,0,0,0,0,0,1,vaccine
144,I don't know if I ever believed in demons... I think I do now...,0,0,0,0,0,0,0,0,0,1,vaccine
145,"Riau Islands seeks 29,000 FMD vaccine doses from central gov't",0,0,0,0,0,0,0,0,0,1,vaccine
146,'These vaccines are unlikely to completely sterilise a population',0,0,0,0,0,0,0,0,0,1,vaccine
147,"Newer Omicron subvariants escape vaccine immunity, previous infection: Study",0,0,0,0,0,0,0,0,0,1,vaccine
148,UK to Offer Vaccine More Widely to Help Control Monkeypox Spread - Bloomberg via,0,0,0,0,0,0,0,0,0,1,vaccine
149,"As COVID cases rise, we are continuing to do our best to keep our communities safe! With the help of , , and the  health program, 'Move it Up', we've been able to host six vaccine clinics at the Rodeway Inn.",0,0,0,0,0,0,0,0,0,1,vaccine
150,And he can't prepare that table in the presence of your enemies if you keep flipping it every time they come around. Sometimes you gotta chill and let God do it.,0,0,0,0,0,0,0,0,0,1,vaccine
151,"LMAO people really acting like they were forced to get the vaccine, just say you stupid and move on",0,0,0,0,0,0,0,0,0,1,vaccine
152,Well I doubt it's the vaccine because no way in Hell did she take it.,0,0,0,0,0,0,0,0,0,1,vaccine
153,Does that imply to the Government vaccines??,0,0,0,0,0,0,0,0,0,1,vaccine
154,This is why you don't test covid vaccines on animals. It's just plain cruel.,0,0,0,0,0,1,0,0,0,0,vaccine
155,"I've never posted personal stuff online, but you guys need to give the vaccine a chance.This is my 1-month-old girl after her shot.",0,0,0,0,0,0,0,0,0,1,vaccine
156,"harmless' '94% effective' using relative risk reduction vs absolute risk reduction (&lt,1%) 'find out why experts believe vaccines are safe & effective",0,0,0,0,0,0,0,0,0,1,vaccine
157,"Wow. During the EUA, you can't sue vaccine manufacturers. AFTER approval, you can. However: 'All vaccines recommended for children get immunity from lawsuits.'",0,0,0,0,0,1,0,0,0,0,vaccine
158,Listen how she stumbled when describing 'ripping away a woman's right' to make their own.... 'reproductive' health decisions. Political word salad. What about the right to choose their own vaccine health decisions?,0,0,0,0,1,0,0,0,0,0,vaccine
159,"Proper vaccine storage and handling are critical components of vaccine-preventable disease prevention efforts. This vaccine carrier is portable, making it easier to transport and store vaccines for outreach sessions. To place your order, go to .",0,0,0,0,0,0,0,0,0,1,vaccine
160,There's the southern belle relishing that she thinks someone is going to die from a vaccine.,0,0,0,0,0,0,0,0,0,1,vaccine
161,Pregnancy/abortions aren't contagious and covid vaccines stop the spread of covid...,0,0,0,0,0,0,0,0,0,1,vaccine
162,This hero of a woman spoke out about the effective use of HDQ and other off label drugs for early successful treatment protocols for Covid. A horrific crime committed to those who have there life invested in pushing a vaccine for profits??,0,0,0,1,0,1,0,0,0,0,vaccine
163,Google it. There are covid vaccine mandates in many states of USA and around the world. Why isn't body autonomy a valid reason against it?,0,0,0,0,1,0,0,0,0,0,vaccine
164,FYI. Reiner Fuellmich & 50 Lawyers: 'The Vaccines Are Designed to Kill and Depopulate the Planet',0,0,0,0,0,0,0,0,0,1,vaccine
165,& democrats were so loud with taking away the choice of getting a vaccine,0,0,0,0,1,0,0,0,0,0,vaccine
166,"Monkeypox is a virus different from COVID-19, vaccine allocation should reflect the public health needs of this epidemic rather than try to compensate for the sins and shortcomings of the last pandemic response.   via",0,0,0,0,0,0,0,0,0,1,vaccine
167,2 years ago. 6 months later the vaccines would start to become available to the public.,0,0,0,0,0,0,0,0,0,1,vaccine
168,Novavax COVID Vaccine FDA Brief - So Now FDA Has Concerns via,0,0,0,0,0,0,0,0,0,1,vaccine
169,"Pfizer's two omicron-focused booster vaccines massively improve a person's immune response against the COVID variant, the company said.",0,0,0,0,0,0,0,0,0,1,vaccine
170,Former Alberta NDP Thomas Dang summoned for allegedly hacking COVID-19 vaccine passport website,0,0,0,0,0,0,0,0,0,1,vaccine
171,CDC Vaccine Equity Event: Spotlight on Community-Based Organizations:,0,0,0,0,0,0,0,0,0,1,vaccine
172,Right here. It was never about freedom but 'muh freedumbs' and their agenda. It was never about vaccines or freedom!,0,0,0,0,1,1,0,0,0,0,vaccine
173,"Here is the source all your sources use to say the vaccine is safe and the non-vaccinated are the ones being hospitalized and dying, the CDC, caught lying. They were never held to account and you all ignored it. They never rectified this situation.",0,1,0,0,0,0,0,0,0,0,vaccine
174,Vaccine Former Pfizer analyst Karen Kingston has put together a warning that it is a formulation dangerously different from the EUA version She says it has been highly Weaponized compared to what the public has gotten and that it is likely designed to take out the military.,0,0,0,0,0,0,0,0,0,1,vaccine
